256
12
12
12
6.5 2 11 1
8 2 9.5 1
8 0.5 11 1
6.5 3.5 0.5 1
6.5 5 2 1
8 5 0.5 1
8 3.5 2 1
6.5 3.5 3.5 1
6.5 5 5 1
8 5 3.5 1
8 3.5 5 1
6.5 3.5 6.5 1
6.5 5 8 1
8 5 6.5 1
8 3.5 8 1
6.5 3.5 9.5 1
6.5 5 11 1
8 5 9.5 1
8 3.5 11 1
6.5 6.5 0.5 1
6.5 8 2 1
8 8 0.5 1
8 6.5 2 1
6.5 6.5 3.5 1
6.5 8 5 1
8 8 3.5 1
8 6.5 5 1
6.5 6.5 6.5 1
6.5 8 8 1
8 8 6.5 1
8 6.5 8 1
6.5 6.5 9.5 1
6.5 8 11 1
8 8 9.5 1
8 6.5 11 1
6.5 9.5 0.5 1
6.5 11 2 1
8 11 0.5 1
8 9.5 2 1
6.5 9.5 3.5 1
6.5 11 5 1
8 11 3.5 1
8 9.5 5 1
6.5 9.5 6.5 1
6.5 11 8 1
8 11 6.5 1
8 9.5 8 1
6.5 9.5 9.5 1
6.5 11 11 1
8 11 9.5 1
8 9.5 11 1
9.5 0.5 0.5 1
9.5 2 2 1
11 2 0.5 1
11 0.5 2 1
9.5 0.5 3.5 1
9.5 2 5 1
11 2 3.5 1
11 0.5 5 1
9.5 0.5 6.5 1
9.5 2 8 1
11 2 6.5 1
11 0.5 8 1
9.5 0.5 9.5 1
9.5 2 11 1
11 2 9.5 1
11 0.5 11 1
9.5 3.5 0.5 1
9.5 5 2 1
11 5 0.5 1
11 3.5 2 1
9.5 3.5 3.5 1
9.5 5 5 1
11 5 3.5 1
11 3.5 5 1
9.5 3.5 6.5 1
9.5 5 8 1
11 5 6.5 1
11 3.5 8 1
9.5 3.5 9.5 1
9.5 5 11 1
11 5 9.5 1
11 3.5 11 1
9.5 6.5 0.5 1
9.5 8 2 1
11 8 0.5 1
11 6.5 2 1
9.5 6.5 3.5 1
9.5 8 5 1
11 8 3.5 1
11 6.5 5 1
9.5 6.5 6.5 1
9.5 8 8 1
11 8 6.5 1
11 6.5 8 1
9.5 6.5 9.5 1
9.5 8 11 1
11 8 9.5 1
11 6.5 11 1
9.5 9.5 0.5 1
9.5 11 2 1
11 11 0.5 1
11 9.5 2 1
9.5 9.5 3.5 1
9.5 11 5 1
11 11 3.5 1
11 9.5 5 1
9.5 9.5 6.5 1
9.5 11 8 1
11 11 6.5 1
11 9.5 8 1
9.5 9.5 9.5 1
9.5 11 11 1
11 11 9.5 1
11 9.5 11 1
